Entity,Code,Year,consumption
Solomon Islands,SLB,2010,1.6
Qatar,QAT,2018,1.59
Eritrea,ERI,2000,1.57
Oman,OMN,2005,1.56
Solomon Islands,SLB,2015,1.55
East Timor,TLS,2000,1.53
Madagascar,MDG,2005,1.53
Malaysia,MYS,2000,1.53
Maldives,MDV,2005,1.52
Tuvalu,TUV,2018,1.52
Tunisia,TUN,2005,1.46
Chad,TCD,2015,1.45
Eritrea,ERI,2018,1.44
Eritrea,ERI,2015,1.42
Tunisia,TUN,2010,1.4
Papua New Guinea,PNG,2015,1.39
Papua New Guinea,PNG,2018,1.39
Tonga,TON,2010,1.39
Eritrea,ERI,2010,1.38
Chad,TCD,2018,1.37
Tunisia,TUN,2000,1.36
Malaysia,MYS,2010,1.32
Bahrain,BHR,2015,1.3
Mozambique,MOZ,2005,1.3
Djibouti,DJI,2005,1.28
Malaysia,MYS,2005,1.28
Mali,MLI,2018,1.28
Mali,MLI,2015,1.25
Solomon Islands,SLB,2000,1.2
Vanuatu,VUT,2005,1.2
Vanuatu,VUT,2000,1.17
Mali,MLI,2000,1.15
Qatar,QAT,2000,1.15
Syria,SYR,2000,1.15
Nepal,NPL,2000,1.12
Guinea,GIN,2018,1.11
Bahrain,BHR,2018,1.09
Mali,MLI,2010,1.09
Guinea,GIN,2015,1.07
Mali,MLI,2005,1.05
Iran,IRN,2018,1.03
Iran,IRN,2010,1.01
Iran,IRN,2015,1.01
Morocco,MAR,2000,1.01
Morocco,MAR,2005,0.96
Senegal,SEN,2000,0.96
Algeria,DZA,2018,0.95
Democratic Republic of Congo,COD,2000,0.95
Algeria,DZA,2015,0.93
Bhutan,BTN,2010,0.92
Syria,SYR,2005,0.92
Morocco,MAR,2010,0.9
Comoros,COM,2015,0.88
Syria,SYR,2010,0.88
Democratic Republic of Congo,COD,2005,0.86
Malaysia,MYS,2015,0.85
Malaysia,MYS,2018,0.85
Senegal,SEN,2005,0.85
East Timor,TLS,2005,0.83
Algeria,DZA,2005,0.81
Middle East and North Africa (WB),,2015,0.80006385
Tonga,TON,2018,0.8
Middle East and North Africa (WB),,2018,0.79858613
Yemen,YEM,2000,0.79
Middle East and North Africa (WB),,2010,0.78670704
Oman,OMN,2018,0.78
Guinea,GIN,2005,0.77
Oman,OMN,2015,0.77
Senegal,SEN,2018,0.76
Oman,OMN,2010,0.73
Senegal,SEN,2015,0.73
East Timor,TLS,2010,0.7
Guinea,GIN,2010,0.7
Morocco,MAR,2015,0.7
Middle East and North Africa (WB),,2005,0.6953239
Comoros,COM,2018,0.69
Jordan,JOR,2015,0.69
Jordan,JOR,2018,0.69
Morocco,MAR,2018,0.69
Tonga,TON,2015,0.68
Djibouti,DJI,2010,0.67
Guinea,GIN,2000,0.67
Niger,NER,2018,0.67
Jordan,JOR,2005,0.66
Middle East and North Africa (WB),,2000,0.6555903
Algeria,DZA,2010,0.65
Jordan,JOR,2010,0.64
Jordan,JOR,2000,0.62
Indonesia,IDN,2015,0.6
Senegal,SEN,2010,0.6
Indonesia,IDN,2010,0.59
Algeria,DZA,2000,0.58
Iran,IRN,2005,0.58
Indonesia,IDN,2018,0.57
Niger,NER,2015,0.55
Kiribati,KIR,2015,0.52
Sudan,SDN,2015,0.52
Brunei,BRN,2010,0.51
Sudan,SDN,2018,0.51
Indonesia,IDN,2000,0.5
Djibouti,DJI,2015,0.49
Iraq,IRQ,2010,0.49
Brunei,BRN,2018,0.48
Indonesia,IDN,2005,0.48
Brunei,BRN,2015,0.46
Kiribati,KIR,2018,0.46
Iraq,IRQ,2000,0.45
Comoros,COM,2005,0.44
Iraq,IRQ,2005,0.44
Bhutan,BTN,2018,0.43
Djibouti,DJI,2018,0.43
Bhutan,BTN,2015,0.42
Egypt,EGY,2015,0.4
Iraq,IRQ,2018,0.39
Myanmar,MMR,2000,0.38
Iraq,IRQ,2015,0.37
Egypt,EGY,2010,0.36
Egypt,EGY,2018,0.36
Pakistan,PAK,2018,0.34
Yemen,YEM,2005,0.34
Niger,NER,2010,0.31
Egypt,EGY,2005,0.29
Pakistan,PAK,2015,0.29
Somalia,SOM,2010,0.28
Syria,SYR,2015,0.28
Comoros,COM,2010,0.25
Egypt,EGY,2000,0.25
Niger,NER,2005,0.25
Syria,SYR,2018,0.24
Bangladesh,BGD,2000,0.23
Brunei,BRN,2000,0.23
Niger,NER,2000,0.23
Afghanistan,AFG,2010,0.21
Afghanistan,AFG,2015,0.21
Afghanistan,AFG,2018,0.21
Brunei,BRN,2005,0.21
Iran,IRN,2000,0.21
Mauritania,MRT,2000,0.2
Saudi Arabia,SAU,2015,0.2
Comoros,COM,2000,0.19
Pakistan,PAK,2010,0.19
Saudi Arabia,SAU,2018,0.19
Saudi Arabia,SAU,2000,0.18
Yemen,YEM,2010,0.18
Saudi Arabia,SAU,2005,0.17
Saudi Arabia,SAU,2010,0.17
Bangladesh,BGD,2005,0.16
Bangladesh,BGD,2010,0.16
Pakistan,PAK,2005,0.16
Mauritania,MRT,2005,0.13
Libya,LBY,2010,0.098
Mauritania,MRT,2010,0.086
Pakistan,PAK,2000,0.085
Libya,LBY,2005,0.083
Somalia,SOM,2005,0.068
Libya,LBY,2000,0.064
Yemen,YEM,2015,0.055
Yemen,YEM,2018,0.051
Kuwait,KWT,2000,0.038
Mauritania,MRT,2018,0.036
Mauritania,MRT,2015,0.033
Kuwait,KWT,2010,0.032
Libya,LBY,2015,0.029
Bangladesh,BGD,2015,0.021
Bangladesh,BGD,2018,0.019
Kuwait,KWT,2005,0.019
Libya,LBY,2018,0.019
Somalia,SOM,2015,0.013
Somalia,SOM,2018,0.009
Kuwait,KWT,2015,0.003
Kuwait,KWT,2018,0.003
Somalia,SOM,2000,0
